1, 1, 1, 2, 2, 3, 3, 3, 3 ;;;;;;
1, 1, 2, 2, 2, 3, 3, 3, 3;;;;;;
1, 1, 2, 2, 5, 4, 4, 4, 3 ;;;;;;
1, 1, 2, 2, 5, 4, 4, 4, 4;;;;;;
6, 6, 5, 5, 5, 5, 5, 4, 4;;;;;;
6, 6, 6, 6, 5, 8, 8, 9, 9;;;;;;
7, 6, 6, 6, 5, 8, 8, 9, 9;;;;;;
7, 7, 7, 7, 8, 8, 8, 9, 9;;;;;;
7, 7, 7, 7, 8, 8, 9, 9, 9;;;;;;
;;;;;;
3,0,0,0,0,7,0,0,0;;;;;;
0,5,0,0,0,0,0,0,4;;;;;;
0,0,0,0,8,0,5,0,0;;;;;;
0,0,5,0,3,0,0,0,0;;;;;;
0,2,4,3,0,6,9,5,0;;;;;;
0,0,0,0,6,0,1,0,0;;;;;;
0,0,2,0,7,0,0,0,0;;;;;;
7,0,0,0,0,0,0,3,0;;;;;;6
0,0,0,6,0,0,0,0,8;;;;;;
